Statement Date	Read From Date	Read From	Read To Date	Read To	Customer Charge	Basic Generation Service	Delivery Service Charges	Consumption Bill Charges	Notes
1/25/2016	1/12/2016	54,808	1/21/2016	54,900	$0.64	$9.37	$3.42	$27.43	Pro-rated; includes one-time Service Charge: $14.00
2/23/2016	1/22/2016	54,900	2/19/2016	55,251	$1.92	$35.79	$13.03	$50.74	
3/23/2016	2/20/2016	55,251	3/21/2016	55,497	$1.92	$25.37	$9.12	$36.41	
4/21/2016	3/22/2016	55,497	4/19/2016	55,714	$1.92	$22.50	$8.05	$32.47	
5/19/2016	4/20/2016	55,714	5/17/2016	55,917	$1.92	$21.05	$7.53	$30.50	
6/20/2016	5/18/2016	55,917	6/16/2016	56,177	$1.92	$24.18	$7.30	$33.40	
7/21/2016	6/17/2016	56,177	7/19/2016	56,557	$1.92	$34.70	$10.68	$47.30	
8/19/2016	7/20/2016	56,557	8/17/2016	57,106	$1.92	$50.12	$15.51	$67.55	
9/20/2016	8/18/2016	57,106	9/16/2016	57,487	$1.92	$34.95	$11.33	$48.20	
10/19/2016	9/17/2016	57,487	10/17/2016	57,699	$1.92	$21.28	$8.41	$31.61	
11/18/2016	10/18/2016	57,699	11/16/2016	57,949	$1.92	$25.09	$9.91	$36.92	
12/21/2016	11/17/2016	57,949	12/19/2016	58,294	$1.92	$35.42	$13.66	$51.00	
1/23/2017	12/20/2016	58,294	1/19/2017	58,624	$2.57	$34.42	$13.77	$50.76	
2/21/2017	1/20/2017	58,624	2/17/2017	58,869	$2.98	$25.49	$10.68	$39.15	
3/22/2017	2/18/2017	58,869	3/20/2017	59,125	$2.98	$25.49	$11.26	$39.73	
4/19/2017	3/21/2017	59,125	4/17/2017	59,319	$2.98	$18.86	$8.54	$30.38	
5/23/2017	4/18/2017	59,319	5/19/2017	59,504	$2.98	$17.99	$8.14	$29.11	
6/22/2017	5/20/2017	59,504	6/20/2017	59,722	$2.98	$18.91	$7.06	$28.95	
7/24/2017	6/21/2017	59,722	7/20/2017	60,100	$2.98	$32.30	$11.32	$46.60	
8/23/2017	7/21/2017	60,100	8/21/2017	60,408	$2.98	$26.32	$9.22	$38.52	
9/22/2017	8/22/2017	60,408	9/20/2017	60,607	$2.98	$16.94	$5.96	$25.88	
10/23/2017	9/21/2017	60,607	10/19/2017	60,819	$2.98	$20.11	$8.47	$31.56	
11/21/2017	10/20/2017	60,819	11/17/2017	61,065	$2.98	$23.34	$9.76	$36.08	
12/19/2017	11/18/2017	61,065	12/20/2017	61,377	$2.98	$30.01	$12.38	$45.37	
1/23/2018	12/21/2017	61,377	1/19/2018	61,671	$2.97	$28.48	$11.64	$43.09	
2/21/2018	1/20/2018	61,671	2/19/2018	61,916	$2.97	$23.93	$9.70	$36.60	
3/22/2018	2/20/2018	61,916	3/20/2018	62,160	$2.97	$24.62	$9.65	$37.24	
4/20/2018	3/21/2018	62,160	4/18/2018	62,384	$2.89	$22.76	$8.69	$34.34	
5/22/2018	4/19/2018	62,384	5/18/2018	62,570	$2.83	$18.91	$7.12	$28.86	
6/20/2018	5/19/2018	62,570	6/18/2018	62,815	$2.83	$20.74	$6.99	$30.56	
7/19/2018	6/19/2018	62,815	7/17/2018	63,189	$2.83	$29.76	$10.68	$43.27	
8/21/2018	7/18/2018	63,189	8/18/2018	63,545	$2.83	$28.32	$10.18	$41.33	
9/20/2018	8/19/2018	63,545	9/18/2018	63,829	$2.83	$24.93	$8.09	$35.85	
10/19/2018	9/19/2018	63,829	10/17/2018	64,006	$2.83	$18.65	$6.72	$28.20	
11/20/2018	10/18/2018	64,006	11/16/2018	64,213	$2.83	$21.81	$7.71	$32.35	
12/19/2018	11/17/2018	64,213	12/17/2018	64,540	$2.83	$34.01	$12.01	$48.85	
1/22/2019	12/18/2018	64,540	1/18/2019	64,836	$2.83	$30.47	$10.74	$44.04	
2/20/2019	1/19/2019	64,836	2/18/2019	65,088	$2.83	$25.94	$9.06	$37.83	
3/21/2019	2/19/2019	65,088	3/19/2019	65,282	$2.83	$20.83	$6.97	$30.63	
4/19/2019	3/20/2019	65,282	4/17/2019	65,423	$2.83	$15.42	$5.06	$23.31	
5/21/2019	4/18/2019	65,423	5/17/2019	65,561	$2.83	$15.08	$5.46	$23.37	
6/20/2019	5/18/2019	65,561	6/18/2019	65,754	$2.78	$17.30	$4.74	$24.82	
7/22/2019	6/19/2019	65,754	7/18/2019	66,089	$2.78	$26.89	$10.00	$39.67	
8/21/2019	7/19/2019	66,089	8/19/2019	66,423	$2.78	$26.10	$9.97	$38.85	
9/19/2019	8/20/2019	66,423	9/17/2019	66,650	$2.78	$18.37	$6.78	$27.93	
10/21/2019	9/18/2019	66,650	10/17/2019	66,825	$2.78	$16.00	$6.92	$25.70	
11/18/2019	10/18/2019	66,825	11/14/2019	66,995	$2.78	$15.55	$6.75	$25.08	
12/20/2019	11/15/2019	66,995	12/18/2019	67,234	$2.78	$22.13	$9.09	$34.00	
1/21/2020	12/19/2019	67,234	1/17/2020	67,485	$2.78	$23.50	$9.05	$35.33	
2/19/2020	1/18/2020	67,485	2/17/2020	67,707	$2.78	$20.90	$7.95	$31.63	
3/19/2020	2/18/2020	67,707	3/17/2020	67,899	$2.78	$17.73	$6.90	$27.41	
4/21/2020	3/18/2020	67,899	4/17/2020	68,111	$2.78	$19.24	$7.63	$29.65	
5/19/2020	4/18/2020	68,111	5/15/2020	68,311	$2.78	$18.15	$7.20	$28.13	
6/19/2020	5/16/2020	68,311	6/17/2020	68,598	$2.78	$24.09	$7.56	$34.43	
7/21/2020	6/18/2020	68,598	7/17/2020	68,986	$2.78	$33.24	$10.23	$46.25	
8/20/2020	7/18/2020	68,986	8/18/2020	69,514	$2.78	$45.23	$13.93	$61.94	
9/21/2020	8/19/2020	69,514	9/17/2020	69,849	$2.78	$28.42	$8.95	$40.15	
10/20/2020	9/18/2020	69,849	10/16/2020	70,059	$2.78	$19.93	$7.70	$30.41	
11/18/2020	10/17/2020	70,059	11/16/2020	70,235	$2.78	$16.70	$6.48	$25.96	
12/18/2020	11/17/2020	70,235	12/16/2020	70,428	$2.78	$18.31	$7.10	$28.19	
1/21/2021	12/17/2020	70,428	1/19/2021	70,922	$2.78	$47.06	$18.07	$67.91	
2/18/2021	1/20/2021	70,922	2/16/2021	71,202	$2.78	$26.97	$10.16	$39.91	
3/19/2021	2/17/2021	71,202	3/17/2021	71,483	$2.78	$27.82	$10.14	$40.74	
4/21/2021	3/18/2021	71,483	4/19/2021	71,742	$2.78	$25.99	$9.34	$38.11	
5/21/2021	4/20/2021	71,742	5/19/2021	71,979	$2.78	$23.79	$8.55	$35.12	
6/21/2021	5/20/2021	71,979	6/17/2021	72,273	$2.78	$25.69	$7.76	$36.23	
7/21/2021	6/18/2021	72,273	7/19/2021	72,787	$2.78	$43.88	$13.79	$60.45	
8/21/2021	7/20/2021	72,787	8/18/2021	73,198	$2.78	$35.00	$11.13	$48.91	
9/21/2021	8/19/2021	73,198	9/15/2021	73,516	$2.78	$27.01	$8.61	$38.40	Pro-rated